date,trade id,time ist,event,symbol,strategy,option_type,price,trailing_sl,rsi,oi,outcome
04-03-25,2025-03-04_30,09:45:00 IST,BUY,NIFTY 4 MAR 22200 CE,SEDA,CE,27.9,17.9,66.00129160320247,11655900,
04-03-25,2025-03-04_30,09:55:00 IST,SELL,NIFTY 4 MAR 22200 CE,SEDA,CE,29.3,17.9,62.13892483666236,8539875,Success
04-03-25,2025-03-04_76,10:31:00 IST,BUY,NIFTY 4 MAR 22250 CE,SEDA,CE,20.52,10.52,47.81986807940699,7275825,
04-03-25,2025-03-04_76,10:37:00 IST,SELL,NIFTY 4 MAR 22250 CE,SEDA,CE,22.3625,10.52,59.139276102146134,7041975,Success
04-03-25,2025-03-04_101,10:56:00 IST,BUY,NIFTY 4 MAR 22300 CE,SEDA,CE,17.26,7.26,63.153670440032336,10298025,
04-03-25,2025-03-04_101,11:02:00 IST,SELL,NIFTY 4 MAR 22300 CE,SEDA,CE,16.5875,7.26,57.2740033154684,10428300,Failure
04-03-25,2025-03-04_166,12:01:00 IST,BUY,NIFTY 4 MAR 22350 CE,SEDA,CE,22.85,12.85,56.88194391229967,5216625,
04-03-25,2025-03-04_166,12:07:00 IST,SELL,NIFTY 4 MAR 22350 CE,SEDA,CE,22.0,12.85,35.952017799346024,5489400,Failure
04-03-25,2025-03-04_201,12:36:00 IST,BUY,NIFTY 4 MAR 22400 CE,SEDA,CE,18.71,8.71,57.23009303883392,8541075,
04-03-25,2025-03-04_201,12:42:00 IST,SELL,NIFTY 4 MAR 22400 CE,SEDA,CE,19.175,8.71,53.34495414987813,9214275,Success
