start_Time_IST,open,high,low,close,volume
2026-05-22 09:15:00+05:30,23671.2,23710.8,23671.0,23693.5,11507418.0
2026-05-22 09:20:00+05:30,23692.85,23756.65,23692.85,23752.85,8023685.0
2026-05-22 09:25:00+05:30,23753.25,23756.25,23731.2,23738.6,5152874.0
2026-05-22 09:30:00+05:30,23738.6,23764.85,23733.1,23762.75,5976388.0
2026-05-22 09:35:00+05:30,23763.65,23778.6,23749.55,23755.85,4638736.0
2026-05-22 09:40:00+05:30,23755.5,23765.4,23729.55,23752.95,3882389.0
2026-05-22 09:45:00+05:30,23753.3,23761.2,23739.2,23740.8,3526607.0
2026-05-22 09:50:00+05:30,23740.95,23784.75,23740.55,23774.1,4828142.0
2026-05-22 09:55:00+05:30,23774.35,23788.8,23763.85,23779.65,3157221.0
2026-05-22 10:00:00+05:30,23778.6,23781.35,23767.05,23767.3,3930206.0
2026-05-22 10:05:00+05:30,23766.5,23787.5,23759.4,23785.5,4693328.0
2026-05-22 10:10:00+05:30,23785.15,23800.15,23785.15,23791.7,5141989.0
2026-05-22 10:15:00+05:30,23791.65,23795.4,23759.9,23764.1,5257003.0
2026-05-22 10:20:00+05:30,23763.5,23785.4,23762.9,23765.65,5394710.0
2026-05-22 10:25:00+05:30,23765.45,23776.1,23759.65,23761.45,4647040.0
2026-05-22 10:30:00+05:30,23761.35,23786.6,23761.35,23778.15,4047026.0
2026-05-22 10:35:00+05:30,23778.3,23782.6,23765.4,23773.05,3824686.0
2026-05-22 10:40:00+05:30,23773.75,23795.15,23773.75,23792.7,3642292.0
2026-05-22 10:45:00+05:30,23793.0,23797.85,23775.1,23783.9,4155950.0
2026-05-22 10:50:00+05:30,23784.3,23789.55,23775.45,23785.6,3396701.0
2026-05-22 10:55:00+05:30,23785.6,23786.45,23776.45,23780.75,3411855.0
2026-05-22 11:00:00+05:30,23781.2,23782.55,23771.45,23777.6,3865792.0
2026-05-22 11:05:00+05:30,23777.6,23782.5,23769.5,23775.05,3328438.0
2026-05-22 11:10:00+05:30,23774.7,23779.15,23765.95,23771.6,3180894.0
2026-05-22 11:15:00+05:30,23772.45,23774.65,23765.45,23766.6,3363764.0
2026-05-22 11:20:00+05:30,23767.0,23789.3,23756.1,23785.0,4120109.0
2026-05-22 11:25:00+05:30,23785.1,23786.7,23750.7,23758.9,4540927.0
2026-05-22 11:30:00+05:30,23758.2,23767.75,23750.05,23757.5,4306036.0
2026-05-22 11:35:00+05:30,23757.25,23775.2,23756.05,23774.05,3185511.0
2026-05-22 11:40:00+05:30,23774.2,23808.9,23771.95,23808.25,4786271.0
2026-05-22 11:45:00+05:30,23807.7,23828.5,23804.1,23809.25,4543060.0
2026-05-22 11:50:00+05:30,23809.25,23811.15,23801.45,23804.55,2821695.0
2026-05-22 11:55:00+05:30,23804.85,23809.75,23800.7,23804.85,2315149.0
2026-05-22 12:00:00+05:30,23804.9,23808.35,23793.3,23794.95,3318233.0
2026-05-22 12:05:00+05:30,23795.1,23801.1,23789.8,23791.3,3851913.0
2026-05-22 12:10:00+05:30,23790.7,23808.3,23790.45,23798.6,2768729.0
2026-05-22 12:15:00+05:30,23798.4,23802.45,23792.2,23794.35,3146173.0
2026-05-22 12:20:00+05:30,23794.75,23796.75,23775.6,23775.7,4396161.0
2026-05-22 12:25:00+05:30,23776.05,23784.4,23771.45,23774.75,2619460.0
2026-05-22 12:30:00+05:30,23774.85,23776.9,23758.85,23775.05,3664662.0
2026-05-22 12:35:00+05:30,23775.3,23780.15,23769.25,23778.9,3702269.0
2026-05-22 12:40:00+05:30,23779.5,23798.5,23777.3,23792.6,2590359.0
2026-05-22 12:45:00+05:30,23792.95,23816.85,23789.25,23813.0,3067186.0
2026-05-22 12:50:00+05:30,23813.0,23833.7,23813.0,23831.55,3889537.0
2026-05-22 12:55:00+05:30,23831.45,23835.65,23825.0,23827.45,2910678.0
2026-05-22 13:00:00+05:30,23828.25,23833.25,23819.3,23827.95,3517210.0
2026-05-22 13:05:00+05:30,23828.5,23829.0,23812.95,23819.4,2666940.0
2026-05-22 13:10:00+05:30,23819.55,23826.45,23816.95,23819.1,3062033.0
2026-05-22 13:15:00+05:30,23819.3,23822.65,23807.55,23812.1,3883335.0
2026-05-22 13:20:00+05:30,23812.5,23820.7,23804.8,23809.15,3561896.0
2026-05-22 13:25:00+05:30,23808.05,23816.6,23803.6,23809.4,3096114.0
2026-05-22 13:30:00+05:30,23809.1,23818.2,23805.15,23816.2,2652939.0
2026-05-22 13:35:00+05:30,23816.15,23817.1,23805.4,23809.05,2453641.0
2026-05-22 13:40:00+05:30,23809.2,23813.7,23800.8,23801.25,2735053.0
2026-05-22 13:45:00+05:30,23801.2,23822.7,23800.5,23803.9,3838018.0
2026-05-22 13:50:00+05:30,23803.9,23811.35,23796.65,23798.0,2627085.0
2026-05-22 13:55:00+05:30,23796.8,23799.2,23782.5,23792.15,3805467.0
2026-05-22 14:00:00+05:30,23792.2,23795.6,23758.6,23761.75,3462927.0
2026-05-22 14:05:00+05:30,23761.75,23781.5,23744.8,23778.35,4427532.0
2026-05-22 14:10:00+05:30,23778.25,23781.6,23767.25,23778.2,4236678.0
2026-05-22 14:15:00+05:30,23778.25,23781.7,23761.35,23761.4,3370631.0
2026-05-22 14:20:00+05:30,23761.4,23766.5,23748.6,23760.0,3085789.0
2026-05-22 14:25:00+05:30,23759.85,23765.45,23739.1,23739.3,3666673.0
2026-05-22 14:30:00+05:30,23739.4,23752.5,23721.2,23745.25,4637085.0
2026-05-22 14:35:00+05:30,23745.1,23748.2,23720.65,23723.9,3755507.0
2026-05-22 14:40:00+05:30,23723.3,23731.4,23707.45,23709.05,4664144.0
2026-05-22 14:45:00+05:30,23709.45,23733.65,23706.9,23726.0,4678503.0
2026-05-22 14:50:00+05:30,23725.8,23728.7,23717.75,23720.3,5105229.0
2026-05-22 14:55:00+05:30,23720.15,23726.65,23714.55,23724.45,4689477.0
2026-05-22 15:00:00+05:30,23724.65,23727.6,23698.95,23710.95,10100438.0
2026-05-22 15:05:00+05:30,23710.9,23717.3,23704.7,23708.7,8816622.0
2026-05-22 15:10:00+05:30,23708.35,23719.9,23703.25,23718.15,8900924.0
2026-05-22 15:15:00+05:30,23718.2,23730.2,23718.2,23725.35,10641643.0
2026-05-22 15:20:00+05:30,23725.35,23742.1,23721.6,23740.7,11925498.0
2026-05-22 15:25:00+05:30,23741.75,23751.9,23732.15,23748.85,9807445.0
