date,trade id,time ist,event,symbol,option_type,price,trailing_sl,rsi,oi,outcome
18-02-26,2026-02-18_40,09:55:00 IST,BUY,NIFTY 18 FEB 25950 PE,PE,213.95,178.95,34.63387810468815,731900,
18-02-26,2026-02-18_40,10:30:00 IST,SELL,NIFTY 18 FEB 25950 PE,PE,241.0,178.95,48.33119269396713,614315,Success
18-02-26,2026-02-18_141,11:36:00 IST,BUY,NIFTY 18 FEB 25200 CE,CE,516.95,481.95,67.3130243410647,799760,
18-02-26,2026-02-18_141,12:10:00 IST,SELL,NIFTY 18 FEB 25200 CE,CE,473.5,481.95,66.11029000081297,804765,Failure
18-02-26,2026-02-18_177,12:12:00 IST,BUY,NIFTY 18 FEB 25350 CE,CE,344.0,309.0,65.26668620370471,86320,
18-02-26,2026-02-18_177,12:45:00 IST,SELL,NIFTY 18 FEB 25350 CE,CE,303.3,309.0,57.49420424336095,98605,Failure
18-02-26,2026-02-18_248,13:23:00 IST,BUY,NIFTY 18 FEB 25150 CE,CE,503.0,468.0,66.94770991438168,45565,
18-02-26,2026-02-18_248,14:00:00 IST,SELL,NIFTY 18 FEB 25150 CE,CE,458.1,468.0,50.76697998607711,47385,Failure
18-02-26,2026-02-18_297,14:12:00 IST,BUY,NIFTY 18 FEB 25300 CE,CE,326.6,291.6,67.0723354669519,1101100,
18-02-26,2026-02-18_297,14:50:00 IST,SELL,NIFTY 18 FEB 25300 CE,CE,288.9,291.6,56.51815108949858,1097590,Failure
